Category,Parameter,Male Range,Female Range,Child Range,Neonate Range,SI Unit,Conventional Unit,Interpretation
Electrolytes,Calcium (total),2.10–2.50 mmol/L,2.10–2.50 mmol/L,2.10–2.50 mmol/L,,mmol/L,8.4–10.6 mg/dL,"Low: tetany, cramps; Causes: hypoparathyroidism, low Vit D. High: stones, bone pain; Causes: hyperparathyroidism."
Electrolytes,Calcium (ionized),1.15–1.35 mmol/L,1.15–1.35 mmol/L,,,mmol/L,4.6–5.1 mg/dL,"More accurate active calcium; aberrations cause neuromuscular/cardiac symptoms."
Electrolytes,Phosphate,0.8–1.3 mmol/L,0.8–1.3 mmol/L,0.9–1.8 mmol/L,,mmol/L,2.5–4.5 mg/dL,"Low: weakness, bone issues; High: renal failure, hypocalcemia."
Electrolytes,Magnesium,0.65–1.05 mmol/L,0.65–1.05 mmol/L,0.6–1.0 mmol/L,,mmol/L,1.3–2.1 mg/dL,"Low: cramps, arrhythmia; High: renal failure."
Lipid,Total Cholesterol,<5.2 mmol/L,<5.2 mmol/L,<5.2 mmol/L,,mmol/L,<200 mg/dL,"High: atherosclerotic risk; Causes: diet, genetics."
Lipid,LDL Cholesterol,<3.4 mmol/L,<3.4 mmol/L,<3.4 mmol/L,,mmol/L,<130 mg/dL,"High: major CVD risk; aim lower in high-risk patients."
Lipid,HDL Cholesterol,>1.0 mmol/L,>1.3 mmol/L,>1.0 mmol/L,,mmol/L,>40 mg/dL,"Low: increased cardiovascular risk."
Lipid,Triglycerides,<1.7 mmol/L,<1.7 mmol/L,<1.7 mmol/L,,mmol/L,<150 mg/dL,"High: pancreatitis risk at very high levels; metabolic syndrome."
Diabetes,Fasting Glucose,70–100 mg/dL,70–100 mg/dL,70–110 mg/dL,,mg/dL,70–100,"High: diabetes; Low: hypoglycemia (sweating, tremor)."
Diabetes,Postprandial Glucose,90–140 mg/dL,90–140 mg/dL,90–160 mg/dL,,mg/dL,90–140,"High: impaired glucose tolerance or diabetes."
Diabetes,HbA1c,<5.7%,<5.7%,<5.7%,,%,<5.7,"High: diabetes/poor long-term control; risk of complications."
Diabetes,Insulin (fasting),2–25 µIU/mL,2–25 µIU/mL,2–25 µIU/mL,,µIU/mL,,"High: insulin resistance; Low: pancreatic insufficiency."
Thyroid,TSH,0.4–4.8 mIU/L,0.4–4.8 mIU/L,Varies by age,,mIU/L,0.4–4.8,"High: hypothyroidism (fatigue, weight gain). Low: hyperthyroidism (palpitations, weight loss)."
Thyroid,Free T4,10–23 pmol/L,10–23 pmol/L,Varies,,pmol/L,1.0–2.3 ng/dL,"Low: hypothyroid; High: hyperthyroid."
Thyroid,Free T3,3.5–7.8 pmol/L,3.5–7.8 pmol/L,Varies,,pmol/L,230–420 pg/dL,"High: hyperthyroid symptoms; Low: hypothyroid symptoms."
Coagulation,Prothrombin Time (PT),11–15 sec,11–15 sec,11–15 sec,,sec,11–15 sec,"High: bleeding risk, warfarin effect, liver disease."
Coagulation,INR,0.8–1.2,0.8–1.2,0.8–1.2,,ratio,0.8–1.2,"High: anticoagulation or liver disease."
Coagulation,aPTT,25–40 sec,25–40 sec,25–40 sec,25–40 sec,sec,25–40 sec,"High: bleeding tendency, heparin therapy; Low: thrombosis tendency."
Coagulation,Thrombin Time (TT),15–19 sec,15–19 sec,15–19 sec,,sec,15–19 sec,"Prolonged: fibrinogen abnormality or heparin effect."
Inflammation,CRP,<3 mg/L,<3 mg/L,<3 mg/L,,mg/L,,"High: acute inflammation/infection; Risk: monitor sepsis."
Inflammation,ESR,0–15 mm/hr,0–20 mm/hr,0–10 mm/hr,,mm/hr,0–20 mm/hr,"High: inflammation, autoimmune disease."
Inflammation,Procalcitonin,<0.1 ng/mL,<0.1 ng/mL,<0.1 ng/mL,,ng/mL,,"High: bacterial sepsis."
Inflammation,Ferritin,20–200 ng/mL,15–150 ng/mL,10–120 ng/mL,,ng/mL,,"Low: iron deficiency. High: inflammation or iron overload."
Vitamins,Vitamin D (25-OH),20–50 ng/mL,20–50 ng/mL,20–50 ng/mL,,ng/mL,,"Low: bone pain, muscle weakness; Causes: low sun, malabsorption."
Vitamins,Vitamin B12,200–900 pg/mL,200–900 pg/mL,200–900 pg/mL,,pg/mL,,"Low: megaloblastic anemia, neuropathy."
Iron Studies,Serum Iron,65–176 µg/dL,50–170 µg/dL,50–120 µg/dL,,µg/dL,,"Low: iron deficiency. High: iron overload."
Iron Studies,TIBC,250–450 µg/dL,250–450 µg/dL,250–450 µg/dL,,µg/dL,,"High: iron deficiency. Low: chronic disease."
Iron Studies,Transferrin Saturation,20–50%,20–50%,20–50%,,%,,"Low: iron deficiency; High: iron overload."
Hormone,Testosterone (male total),9–30 nmol/L,0.3–3.0 nmol/L (female),Varies,,nmol/L,275–875 ng/dL,"Low (males): low libido, fatigue; causes: hypogonadism. High (females): virilization."
Hormone,Estrogen (E2),40–115 pg/mL,50–400 pg/mL,Varies,,pg/mL,,"Depends on cycle/age; low: menopause; high: ovarian hyperstimulation."
Hormone,Progesterone,1–20 ng/mL,Varies by phase,Varies,,ng/mL,,"Low: luteal phase defect; High: pregnancy or luteal phase."
Hormone,FSH,1–12 IU/L,1.7–21.5 IU/L,1.0–6.0 IU/L,,IU/L,,"High in menopause; Low in hypogonadism."
Hormone,LH,1–9 IU/L (male),1.9–12.5 IU/L (female),Varies,,IU/L,,"Patterns vary with cycle; high in menopause."
Hormone,Prolactin,2–18 ng/mL,2–30 ng/mL,Varies,,ng/mL,,"High: pituitary adenoma, drugs; Symptoms: galactorrhea, infertility."
Hormone,Cortisol (AM),170–635 nmol/L,170–635 nmol/L,,,nmol/L,6–23 µg/dL,"Low: Addison's; High: Cushing's; Symptoms: fatigue or weight gain."
Hormone,PTH,10–65 pg/mL,10–65 pg/mL,,,pg/mL,10–65,"High: hyperparathyroidism; Low: hypoparathyroidism."
Tumor Marker,PSA (total),0–4 µg/L,0–4 µg/L,,,µg/L,0–4 ng/mL,"High: prostate cancer or BPH; Age-specific interpretation recommended."
Tumor Marker,CEA,<3 µg/L,<3 µg/L,<3 µg/L,,µg/L,<3 ng/mL,"High: GI malignancy marker (trend more important)."
Urine,Urine Dipstick - Protein,Negative,Negative,Negative,,,"Negative","Proteinuria: kidney disease; Causes: glomerulonephritis, nephrotic syndrome."
Urine,Urine Dipstick - Glucose,Negative,Negative,Negative,,,"Negative","Glucosuria: diabetes if renal threshold exceeded."
Urine,Urine Dipstick - Ketones,Negative,Negative,Negative,,,"Negative","Ketones: DKA or fasting; Risk: DKA in diabetes."
Urine,Specific Gravity,1.003–1.030,1.003–1.030,1.003–1.030,,SG,1.003–1.030,"Low: overhydration; High: dehydration."
Urine,pH,4.5–8.0,4.5–8.0,4.5–8.0,,pH,4.5–8.0,"Abnormal: UTI or metabolic issues."
Cardiac,CK-MB,0–5 ng/mL,0–5 ng/mL,,,ng/mL,,"High: myocardial injury (with troponin)."
Cardiac,Troponin I,≤0.04 ng/mL,≤0.04 ng/mL,,,ng/mL,,"High: myocardial infarction; urgent."
Cardiac,BNP,<100 pg/mL,<100 pg/mL,,,pg/mL,,"High: heart failure."
Metabolic,Triglycerides,<1.7 mmol/L,<1.7 mmol/L,<1.7 mmol/L,,mmol/L,<150 mg/dL,"High: pancreatitis risk if very high; metabolic syndrome."
Metabolic,HbA1c,<5.7%,<5.7%,<5.7%,,%,<5.7,"High: diabetes; >6.5% diagnostic for diabetes."
Other,Amylase,25–125 U/L,25–125 U/L,Varies,,U/L,25–125,"High: pancreatitis; Abdominal pain."
Other,LDH,140–280 U/L,140–280 U/L,Varies,,U/L,140–280,"Non-specific tissue injury marker."
Other,AFP,<10 ng/mL,<10 ng/mL,,,ng/mL,,"High: hepatocellular carcinoma or germ cell tumors."
Other,CRP,<3 mg/L,<3 mg/L,<3 mg/L,,mg/L,,"High: acute inflammation/infection."
Thyroid,T3 Total,0.80–2.00,0.80–2.00,,,ng/mL,ng/mL,"Low: hypothyroidism or severe illness; High: hyperthyroidism."
Thyroid,T4 Total,4.87–12.23,4.87–12.23,,,µg/dL,µg/dL,"Low: hypothyroidism or iodine deficiency; High: hyperthyroidism."
Thyroid,TSH Ultrasensitive,0.27–4.20,0.27–4.20,,,µIU/mL,µIU/mL,"High: primary hypothyroidism; Low: hyperthyroidism."
